date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,PLTR,AVGO,MU,GEV,VRT,BE,LITE,000660,005930,UNH,LLY,ISRG,ABBV,REGN,JPM,V,MA,BLK,SPGI,GS,COST,HD,PG,MCD,WMT,CAT,HON,DE,UNP,LMT,ETN,XOM,LNG,FCX,LIN,NEE,AMT,EQIX,TMUS,PLD,AMD,CRM,NFLX
2024-04-29,0.019388,0.001984,0.018961,0.01918,0.00783,0.001933,0.073759,0.124327,0.001952,0.035919,0.020384,0.001986,0.101618,0.019768,0.019407,0.018078,0.020081,0.002387,0.002097,0.01985,0.018833,0.002165,0.00979,0.011728,0.018547,0.001991,0.019772,0.01846,0.019717,0.020372,0.01969,0.018908,0.018943,0.019175,0.019971,0.019903,0.020883,0.002524,0.019609,0.019939,0.020365,0.018104,0.020048,0.018149,0.001936,0.019658,0.019796,0.004075,0.016569,0.00949
2024-04-30,0.019353,0.001952,0.018889,0.01886,0.007916,0.001935,0.070835,0.121652,0.001928,0.036075,0.020036,0.001981,0.10464,0.020211,0.019543,0.018573,0.020196,0.002572,0.002113,0.020324,0.01911,0.002184,0.009836,0.011771,0.018694,0.002027,0.019912,0.018681,0.019894,0.020911,0.019983,0.018941,0.018422,0.019393,0.019823,0.019919,0.021115,0.002501,0.01971,0.019787,0.019731,0.018238,0.020249,0.018092,0.001927,0.019978,0.019561,0.004096,0.016432,0.009497
2024-05-01,0.019242,0.001981,0.01902,0.019297,0.008085,0.00186,0.069585,0.12252,0.001843,0.035044,0.019776,0.001886,0.106365,0.020107,0.019549,0.018579,0.020219,0.002558,0.002119,0.020215,0.019391,0.002186,0.009792,0.011536,0.018624,0.00203,0.01993,0.018669,0.019766,0.020943,0.020091,0.018787,0.018235,0.019657,0.019631,0.01974,0.020976,0.002453,0.019342,0.019694,0.019725,0.018312,0.020751,0.018655,0.001885,0.020142,0.019534,0.003732,0.016422,0.009518
2024-05-02,0.019471,0.001976,0.019149,0.019717,0.00805,0.001903,0.068905,0.123668,0.001819,0.03553,0.019859,0.001944,0.106525,0.02026,0.019289,0.018514,0.020386,0.002465,0.002132,0.019902,0.019925,0.002162,0.009706,0.011397,0.018573,0.002013,0.019992,0.018746,0.019781,0.020792,0.019809,0.018874,0.018293,0.019298,0.019861,0.019772,0.020835,0.002454,0.019186,0.019946,0.019088,0.017189,0.020618,0.018763,0.001875,0.019876,0.019844,0.003744,0.016468,0.009654
2024-05-03,0.020299,0.001987,0.018907,0.019551,0.008103,0.001937,0.068225,0.125859,0.001846,0.035688,0.021114,0.00193,0.108085,0.020132,0.01893,0.018119,0.020032,0.002358,0.002118,0.019941,0.020005,0.002114,0.009579,0.011275,0.018436,0.00202,0.019921,0.018729,0.019883,0.02053,0.019275,0.0186,0.018065,0.019196,0.019784,0.019668,0.020438,0.002461,0.018834,0.019244,0.01942,0.017069,0.020661,0.018673,0.001848,0.019515,0.019775,0.003795,0.01629,0.009735
2024-05-06,0.019732,0.001982,0.018643,0.019436,0.00819,0.001972,0.068247,0.133415,0.001857,0.036667,0.021071,0.00198,0.109624,0.019471,0.01857,0.017774,0.019728,0.002413,0.002087,0.019435,0.019658,0.00209,0.009543,0.011205,0.01834,0.001984,0.019787,0.018683,0.019473,0.020137,0.018837,0.018262,0.018003,0.018753,0.01945,0.019202,0.020087,0.002465,0.018595,0.018791,0.019254,0.016864,0.020589,0.01801,0.001797,0.018884,0.019175,0.00385,0.016096,0.00984
2024-05-07,0.020265,0.002007,0.019431,0.019892,0.008426,0.001983,0.067198,0.11587,0.001889,0.037227,0.021332,0.001977,0.108205,0.018697,0.019702,0.019052,0.020453,0.002504,0.002166,0.019862,0.020351,0.002136,0.009899,0.011558,0.018916,0.002043,0.020251,0.01949,0.01983,0.020768,0.019144,0.018918,0.018576,0.019368,0.020085,0.019906,0.020725,0.002524,0.018931,0.019163,0.019854,0.017391,0.021272,0.018694,0.001886,0.0193,0.020198,0.003905,0.01656,0.01022
2024-05-08,0.020322,0.002015,0.019238,0.019831,0.008513,0.001982,0.066095,0.11685,0.001923,0.037298,0.020924,0.002036,0.108586,0.019254,0.019545,0.019071,0.020565,0.002498,0.002122,0.019625,0.020072,0.002181,0.009935,0.011613,0.018872,0.002048,0.020414,0.019309,0.019741,0.020702,0.019234,0.018836,0.018567,0.019505,0.020097,0.020215,0.020722,0.002549,0.018946,0.019283,0.01932,0.017315,0.021559,0.018717,0.001837,0.019395,0.019865,0.003889,0.016683,0.010289
2024-05-09,0.020482,0.002019,0.019262,0.019946,0.008545,0.001941,0.064913,0.114325,0.001891,0.036746,0.021184,0.002037,0.1078,0.019672,0.019218,0.018655,0.020676,0.002481,0.002146,0.019576,0.020285,0.002197,0.009962,0.011606,0.019092,0.002058,0.020763,0.019662,0.020199,0.020779,0.019153,0.018904,0.018918,0.019717,0.02023,0.020229,0.020776,0.002566,0.019277,0.019374,0.019711,0.017364,0.022024,0.019196,0.002044,0.019573,0.020246,0.003849,0.016421,0.010311
2024-05-10,0.020483,0.002046,0.019247,0.019872,0.008619,0.001979,0.064038,0.112187,0.001943,0.038081,0.021444,0.001998,0.103193,0.019892,0.019849,0.018668,0.021058,0.002461,0.002168,0.019756,0.02055,0.002227,0.010111,0.011725,0.01941,0.002069,0.02087,0.020007,0.020281,0.021026,0.019795,0.019049,0.019214,0.020082,0.020317,0.020436,0.020943,0.002563,0.019334,0.019422,0.020047,0.01767,0.021943,0.019135,0.002019,0.019652,0.020264,0.003864,0.016626,0.010362
