feature,importance,group
realized_vol_126d,76.375,Price
oper_margin_chg_126d,70.625,Accounting
best_calculated_fcf_level_z,67.375,Accounting
capex_intensity_z,67.25,Accounting
oper_margin_chg_63d,65.375,Accounting
best_ev_to_best_ebitda_level_z,65.125,Accounting
oper_margin_chg_252d,63.875,Accounting
best_capex_chg_252d,59.25,Accounting
best_px_bps_ratio_vol,57.875,Accounting
best_gross_margin_chg_vol,57.125,Accounting
analyst_rec_level,56.125,Sellside
oper_margin_chg_vol,54.625,Accounting
cash_conversion_z,54.125,Accounting
oper_margin_chg_21d,53.875,Accounting
tg_conviction,53.125,Sellside
analyst_rec_stability,53.125,Sellside
op_leverage_63d,52.375,Accounting
ma_cross_50_200,52.125,Price
best_sales_chg_252d,51.875,Accounting
best_calculated_fcf_chg_vol,51.75,Accounting
tg_upside_vol,51.5,Sellside
momentum_252d,51.0,Price
best_capex_chg_vol,50.5,Accounting
best_eps_chg_252d,50.375,Accounting
analyst_rec_vs_median,48.625,Sellside
best_calculated_fcf_chg_126d,48.625,Accounting
best_sales_chg_126d,48.125,Accounting
beta_63d,47.125,Price
regime_avg_rec,47.0,Conditioning
best_px_bps_ratio_level_z,46.625,Accounting
best_peg_ratio_vol,46.375,Accounting
best_pe_ratio_level_z,46.0,Accounting
oper_margin_accel,45.5,Accounting
best_peg_ratio_level_z,45.5,Accounting
best_calculated_fcf_vs_median,45.125,Accounting
best_roe_chg_vol,45.0,Accounting
best_eps_chg_126d,44.5,Accounting
best_pe_ratio_vol,44.25,Accounting
dist_52w_low,44.25,Price
tg_upside,44.0,Sellside
best_ev_to_best_ebitda_vol,43.75,Accounting
news_ma63,43.625,Sellside
analyst_rec_rank,43.375,Sellside
ret_kurt_63d,43.375,Price
best_capex_level_z,43.25,Accounting
best_gross_margin_chg_126d,43.0,Accounting
best_eps_chg_vol,42.875,Accounting
realized_vol_63d,42.625,Price
sales_rev_trend,42.375,Sellside
ma_cross_21_50,42.125,Price
analyst_rec_diff_21d,42.0,Sellside
max_ret_63d,41.875,Price
eps_rev_ma_63d,41.75,Sellside
best_pe_ratio_vs_median,41.625,Accounting
dist_52w_high,41.5,Price
mktcap_rank,41.125,Price
best_gross_margin_chg_252d,39.375,Accounting
news_vol,39.25,Sellside
best_roe_vs_median,39.0,Accounting
best_sales_chg_vol,39.0,Accounting
best_calculated_fcf_chg_252d,38.875,Accounting
sales_rev_time_high,38.875,Sellside
risk_adj_mom_252d,38.875,Price
best_capex_vs_median,38.75,Accounting
best_ev_to_best_ebitda_vs_median,38.75,Accounting
min_ret_63d,38.625,Price
regime_avg_vol_63d,38.375,Conditioning
sales_rev_ma_63d,38.125,Sellside
sales_rev_vol,37.25,Sellside
earnings_quality_252d,37.25,Accounting
best_gross_margin_accel,37.125,Accounting
best_capex_chg_126d,37.125,Accounting
best_roe_chg_252d,37.125,Accounting
best_roe_level_z,37.0,Accounting
tg_upside_vs_median,36.875,Sellside
best_gross_margin_chg_63d,36.875,Accounting
sales_rev_vs_median,36.625,Sellside
range_position_52w,36.125,Price
best_peg_ratio_vs_median,35.625,Accounting
downside_vol_63d,35.25,Price
idio_vol_63d,35.125,Price
best_peg_ratio_rank,35.0,Accounting
tg_mom_63d,34.625,Sellside
eps_rev_time_high,34.375,Sellside
best_capex_chg_63d,34.25,Accounting
best_roe_chg_126d,33.5,Accounting
sales_rev_time_low,33.375,Sellside
roe_pe_z,33.25,Accounting
eps_rev_vs_median,33.125,Sellside
risk_adj_mom_126d,32.875,Price
best_px_bps_ratio_rank,32.875,Accounting
eps_rev_time_low,32.875,Sellside
best_roe_rank,32.625,Accounting
capex_intensity_chg,32.5,Accounting
eps_rev_vol,31.25,Sellside
analyst_rec_accel,31.125,Sellside
