date,IC
2016-12-19,0.3085
2017-01-02,0.1532
2017-01-16,0.0637
2017-01-30,-0.1215
2017-02-13,-0.1061
2017-02-27,-0.0244
2017-03-13,0.3584
2017-03-27,0.1638
2017-04-10,0.2819
2017-04-24,0.2144
2017-05-08,0.2703
2017-05-22,-0.2233
2017-06-05,-0.1484
2017-06-19,-0.0932
2017-07-03,0.2539
2017-07-17,0.1438
2017-07-31,-0.2733
2017-08-14,-0.13
2017-08-28,0.0028
2017-09-11,0.3811
2017-09-25,-0.0292
2017-10-09,0.2143
2017-10-23,-0.037
2017-11-06,0.3189
2017-11-20,0.3292
2017-12-04,0.0127
2017-12-18,-0.0392
2018-01-01,-0.1072
2018-01-15,0.0363
2018-01-29,-0.4049
2018-02-12,-0.0275
2018-02-26,-0.0332
2018-03-12,-0.24
2018-03-26,-0.222
2018-04-09,-0.0843
2018-04-23,0.1439
2018-05-07,0.1566
2018-05-21,-0.1165
2018-06-04,-0.3492
2018-06-18,0.1707
2018-07-02,0.2508
2018-07-16,-0.0421
2018-07-30,-0.0347
2018-08-13,0.2315
2018-08-27,-0.129
2018-09-10,-0.0023
2018-09-24,0.1577
2018-10-08,0.07
2018-10-22,-0.0438
2018-11-05,-0.1611
2018-11-19,-0.066
2018-12-03,-0.0368
2018-12-17,0.164
2018-12-31,0.126
2019-01-14,0.1727
2019-01-28,0.3093
2019-02-11,0.4125
2019-02-25,-0.0203
2019-03-11,0.0232
2019-03-25,0.1623
2019-04-08,-0.0276
2019-04-22,0.038
2019-05-06,-0.092
2019-05-20,-0.2083
2019-06-03,0.2643
2019-06-17,0.0714
2019-07-01,-0.0518
2019-07-15,-0.0607
2019-07-29,0.1624
2019-08-12,0.4199
2019-08-26,0.1231
2019-09-09,0.141
2019-09-23,-0.1227
2019-10-07,-0.11
2019-10-21,-0.0341
2019-11-04,0.0605
2019-11-18,-0.0059
2019-12-02,0.1322
2019-12-16,0.238
2019-12-30,0.2933
2020-01-13,-0.0245
2020-01-27,-0.0861
2020-02-10,-0.0852
2020-02-24,-0.1712
2020-03-09,-0.1237
2020-03-23,0.19
2020-04-06,-0.0243
2020-04-20,0.0051
2020-05-04,-0.0365
2020-05-18,0.1703
2020-06-01,0.1858
2020-06-15,0.1752
2020-06-29,-0.0994
2020-07-13,0.2237
2020-07-27,0.0762
2020-08-10,-0.1864
2020-08-24,0.074
2020-09-07,0.2146
2020-09-21,-0.0836
2020-10-05,0.3533
2020-10-19,0.1207
2020-11-02,-0.12
2020-11-16,0.0582
2020-11-30,-0.1304
2020-12-14,-0.2914
2020-12-28,-0.1421
2021-01-11,0.0375
2021-01-25,-0.0301
2021-02-08,-0.1719
2021-02-22,-0.2274
2021-03-08,0.2384
2021-03-22,0.2073
2021-04-05,0.0921
2021-04-19,0.2307
2021-05-03,0.0866
2021-05-17,0.0933
2021-05-31,0.0799
2021-06-14,0.0759
2021-06-28,-0.0573
2021-07-12,0.0274
2021-07-26,0.0675
2021-08-09,0.0619
2021-08-23,-0.0473
2021-09-06,0.1933
2021-09-20,0.2426
2021-10-04,0.1849
2021-10-18,0.1198
2021-11-01,0.0285
2021-11-15,0.1942
2021-11-29,0.3307
2021-12-13,-0.0958
2021-12-27,-0.177
2022-01-10,0.0567
2022-01-24,0.0808
2022-02-07,-0.1496
2022-02-21,0.0124
2022-03-07,0.3634
