retrain_date,n_trees,n_unique_features_used,avg_tree_depth,best_iteration,top_split_features
2016-12-19,163,295,8.0,163,Column_259(123); Column_77(116); Column_119(108); Column_105(88); Column_83(88); Column_149(78); Column_202(70); Column_70(70); Column_5(69); Column_8(68)
2017-03-16,163,295,8.0,163,Column_259(123); Column_77(116); Column_119(108); Column_105(88); Column_83(88); Column_149(78); Column_202(70); Column_70(70); Column_5(69); Column_8(68)
2017-06-13,163,295,8.0,163,Column_259(123); Column_77(116); Column_119(108); Column_105(88); Column_83(88); Column_149(78); Column_202(70); Column_70(70); Column_5(69); Column_8(68)
2017-09-08,117,298,8.0,117,Column_259(107); Column_70(70); Column_28(66); Column_32(64); Column_119(63); Column_97(62); Column_83(59); Column_77(58); Column_5(56); Column_149(54)
2017-12-06,109,295,8.0,109,Column_259(95); Column_77(68); Column_83(60); Column_70(55); Column_5(55); Column_28(54); Column_119(53); Column_264(52); Column_149(51); Column_82(46)
2018-03-05,84,291,8.0,84,Column_259(59); Column_77(56); Column_83(45); Column_81(45); Column_5(44); Column_119(42); Column_76(39); Column_30(38); Column_118(38); Column_124(37)
2018-05-31,60,286,8.0,60,Column_259(42); Column_82(38); Column_5(37); Column_77(33); Column_76(31); Column_81(30); Column_130(29); Column_149(29); Column_3(29); Column_264(28)
2018-08-28,20,222,8.0,20,Column_5(16); Column_264(14); Column_76(13); Column_75(10); Column_35(10); Column_127(10); Column_83(10); Column_98(10); Column_123(9); Column_149(9)
2018-11-23,20,222,8.0,20,Column_5(16); Column_264(14); Column_76(13); Column_75(10); Column_35(10); Column_127(10); Column_83(10); Column_98(10); Column_123(9); Column_149(9)
2019-02-20,20,222,8.0,20,Column_5(16); Column_264(14); Column_76(13); Column_75(10); Column_35(10); Column_127(10); Column_83(10); Column_98(10); Column_123(9); Column_149(9)
2019-05-20,20,222,8.0,20,Column_5(16); Column_264(14); Column_76(13); Column_75(10); Column_35(10); Column_127(10); Column_83(10); Column_98(10); Column_123(9); Column_149(9)
2019-08-15,74,278,8.0,74,Column_28(54); Column_83(46); Column_30(43); Column_25(36); Column_98(36); Column_132(36); Column_92(36); Column_138(35); Column_130(35); Column_14(33)
