date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,PLTR,AVGO,MU,GEV,VRT,BE,LITE,000660,005930,UNH,LLY,ISRG,ABBV,REGN,JPM,V,MA,BLK,SPGI,GS,COST,HD,PG,MCD,WMT,CAT,HON,DE,UNP,LMT,ETN,XOM,LNG,FCX,LIN,NEE,AMT,EQIX,TMUS,PLD,AMD,CRM,NFLX,TER,GLW,JNJ,WFC,MPC,LRCX,AMAT,PANW,FN,MPWR,BAC,CSCO,INTC,ORCL,TSM
2018-11-26,0.073716,0.082686,0.072944,0.079179,0.039031,0.009287,0.016001,0.000999,0.009613,0.003975,0.003626,3e-06,7.1e-05,0.009017,0.004472,0.023616,0.025282,0.011458,0.00567,0.012638,0.003774,0.036122,0.032735,0.020188,0.006531,0.004317,0.007363,0.009255,0.018702,0.022318,0.013869,0.027066,0.007233,0.010238,0.00478,0.010103,0.008092,0.003129,0.032278,0.00149,0.001528,0.008419,0.008142,0.0069,0.002922,0.005527,0.004041,0.001942,0.009565,0.01113,0.00057,0.002404,0.036846,0.024645,0.004406,0.002179,0.003458,0.001518,9.8e-05,0.000453,0.02683,0.020328,0.021416,0.017559,0.014306
2018-12-25,0.069863,0.082396,0.076667,0.075848,0.040155,0.008691,0.005708,0.001116,0.010871,0.003546,0.004078,2e-06,0.008705,0.000319,0.004285,0.024237,0.025012,0.01226,0.005513,0.013893,0.004093,0.034329,0.033034,0.020707,0.006404,0.004364,0.006695,0.009022,0.019739,0.023895,0.014557,0.027658,0.007631,0.010049,0.004961,0.010272,0.007621,0.003036,0.030955,0.001519,0.001509,0.019023,0.008759,0.007382,0.002913,0.005603,0.003859,0.001805,0.010339,0.011214,0.000499,0.002394,0.036081,0.022896,0.004193,0.002067,0.003126,0.001698,9.2e-05,0.000418,0.025073,0.020245,0.022168,0.0175,0.015438
2019-01-23,0.072703,0.08252,0.074998,0.081767,0.041479,0.026879,0.002395,0.000875,0.005289,0.001759,0.003495,1e-06,0.009222,0.000233,0.004187,0.011822,0.025251,0.011956,0.005831,0.012963,0.004152,0.034005,0.032779,0.020461,0.006284,0.004442,0.005513,0.008797,0.01942,0.023018,0.01396,0.02803,0.007546,0.00991,0.004949,0.010826,0.007682,0.002793,0.029692,0.001412,0.001575,0.03329,0.008157,0.003505,0.002663,0.005415,0.003859,0.001786,0.011177,0.006789,0.000374,0.002106,0.033355,0.023172,0.004316,0.001954,0.001557,0.001705,2e-06,0.000304,0.028109,0.020256,0.021455,0.017814,0.014009
2019-02-21,0.069646,0.080917,0.073167,0.076891,0.043817,0.009039,0.002325,0.000848,0.005509,0.002047,0.003343,1.6e-05,0.00947,0.000245,0.002353,0.006546,0.024002,0.01184,0.005776,0.031175,0.004141,0.033272,0.031313,0.021522,0.006388,0.004483,0.00525,0.008539,0.020067,0.023073,0.013074,0.026888,0.007585,0.010302,0.004884,0.011382,0.007872,0.003036,0.031213,0.001417,0.001602,0.034199,0.008093,0.003568,0.002972,0.005598,0.004026,0.002071,0.028463,0.003749,0.000476,0.002377,0.033406,0.022029,0.004147,0.002404,0.001702,0.001801,1.8e-05,0.000343,0.027091,0.020978,0.022061,0.01789,0.014264
2019-03-22,0.055168,0.083262,0.077766,0.080372,0.043486,0.010049,0.002111,0.000888,0.005673,0.002053,0.003303,8e-05,0.015619,0.00033,0.002326,0.00635,0.021705,0.012051,0.005775,0.040807,0.003818,0.030286,0.032258,0.02195,0.006045,0.004581,0.004978,0.009192,0.019328,0.022828,0.013084,0.025949,0.006925,0.010252,0.004594,0.010522,0.007478,0.003007,0.031322,0.001485,0.001517,0.033054,0.008266,0.003857,0.003135,0.005375,0.003995,0.002276,0.011549,0.002048,0.00051,0.002335,0.032985,0.020345,0.023881,0.002416,0.001758,0.001935,8.2e-05,0.000409,0.024379,0.021526,0.022196,0.016723,0.014392
2019-04-22,0.056344,0.083961,0.076982,0.082203,0.03525,0.026568,0.023059,0.000897,0.005871,0.002091,0.0032,0.000128,0.000132,0.000402,0.002397,0.003233,0.019066,0.010389,0.004867,0.038667,0.003154,0.033174,0.03227,0.022118,0.006457,0.004665,0.005189,0.009028,0.01999,0.022901,0.012997,0.025813,0.003767,0.010601,0.004769,0.011148,0.007694,0.003132,0.030804,0.001444,0.001678,0.033233,0.007786,0.003719,0.003011,0.005304,0.003959,0.00237,0.010873,0.002091,0.000602,0.002311,0.031702,0.018878,0.02275,0.002557,0.001892,0.001872,0.000142,0.000481,0.025903,0.022108,0.023416,0.016623,0.007918
2019-05-21,0.053465,0.089361,0.073337,0.083664,0.037289,0.008683,0.031234,0.001206,0.005571,0.002052,0.003579,0.000415,0.000129,0.000326,0.002439,0.003452,0.035565,0.005823,0.005132,0.041524,0.003298,0.033909,0.03431,0.024232,0.006616,0.005085,0.005486,0.009861,0.019543,0.023964,0.014086,0.026644,0.003689,0.011295,0.004318,0.011598,0.008933,0.003346,0.022819,0.00159,0.001382,0.009349,0.008665,0.004231,0.003661,0.006003,0.00458,0.002652,0.011093,0.002305,0.000694,0.002385,0.033023,0.019137,0.032226,0.002577,0.002119,0.002118,0.000395,0.000679,0.02577,0.02314,0.018294,0.017272,0.007385
2019-06-19,0.081746,0.093386,0.068783,0.084387,0.048056,0.004077,0.003622,0.00097,0.005288,0.001703,0.003295,0.000196,1e-06,0.000133,0.002072,0.003342,0.034816,0.005427,0.005215,0.03882,0.003029,0.032463,0.034659,0.023835,0.006516,0.005097,0.005093,0.009979,0.020544,0.024156,0.013994,0.028082,0.003565,0.011288,0.002269,0.010615,0.008898,0.003037,0.021868,0.001341,0.020069,0.009645,0.008645,0.004329,0.003572,0.005755,0.002233,0.002686,0.010541,0.002106,0.000494,0.002304,0.032907,0.018259,0.029211,0.002253,0.001939,0.001694,0.000198,0.000483,0.024841,0.021576,0.01876,0.016243,0.003598
2019-07-18,0.056875,0.09112,0.069238,0.084752,0.049961,0.004347,0.003886,0.000894,0.00536,0.002126,0.003148,7.6e-05,1e-06,9.4e-05,0.002187,0.003274,0.035122,0.004901,0.005153,0.033564,0.002817,0.033031,0.035502,0.024601,0.006552,0.005122,0.005368,0.010337,0.020499,0.03857,0.014278,0.028453,0.003524,0.010804,0.002209,0.010701,0.008593,0.002865,0.021025,0.00126,0.019434,0.009448,0.008586,0.004006,0.003424,0.005512,0.002142,0.002771,0.01043,0.00178,0.000441,0.002218,0.029962,0.017652,0.031533,0.002341,0.002083,0.017784,0.000157,0.000487,0.024011,0.021545,0.019255,0.016901,0.003904
2019-08-16,0.060443,0.095872,0.074151,0.080806,0.047564,0.004804,0.003587,0.00102,0.005836,0.002711,0.003469,9.2e-05,0.000545,0.000419,0.002882,0.003802,0.035144,0.022008,0.005516,0.033653,0.002971,0.031269,0.037221,0.025272,0.005896,0.005749,0.005759,0.01095,0.020346,0.051438,0.015068,0.029972,0.003748,0.011313,0.002655,0.007399,0.010048,0.002959,0.020844,0.001719,0.001214,0.009273,0.009469,0.005016,0.004259,0.00604,0.002782,0.003083,0.010471,0.002277,0.000828,0.00197,0.031472,0.017761,0.00278,0.0027,0.002651,0.017201,0.000719,0.000606,0.022844,0.018254,0.018706,0.016235,0.004468
