date,ticker,Accounting,Price,Sellside,Conditioning,Factor,MacroCross,Financials,total
2018-11-26,AAPL,0.0117,-0.0036,0.0007,0.0006,0.0004,-0.0002,0.0005,0.0101
2018-11-26,MSFT,-0.0022,-0.0006,-0.0039,0.0001,-0.0001,-0.0,0.0004,-0.0062
2018-11-26,GOOGL,0.0123,-0.0,0.0001,0.0006,0.0003,-0.0001,0.0002,0.0134
2018-11-26,AMZN,0.0226,-0.002,-0.0015,0.0013,-0.0005,-0.0019,0.002,0.0201
2018-11-26,META,-0.0038,0.0058,0.0004,0.0001,-0.0007,0.0,-0.0001,0.0016
2018-11-26,NVDA,0.0196,-0.0001,-0.0024,0.0005,0.0002,0.003,-0.0006,0.0202
2018-11-26,TSLA,0.0216,-0.0122,0.0032,0.0,-0.0003,0.001,-0.0062,0.0071
2018-11-26,PLTR,0.0016,0.001,-0.0004,0.0001,-0.0001,0.0007,-0.0006,0.0023
2018-11-26,AVGO,0.0024,0.0013,0.0005,0.0001,-0.0,-0.0001,-0.0004,0.0037
2018-11-26,MU,-0.0048,-0.0093,-0.0154,0.0001,0.0005,-0.0001,-0.0041,-0.0331
2018-11-26,GEV,0.0024,0.0008,0.0017,0.0001,-0.0001,0.0007,-0.0001,0.0054
2018-11-26,VRT,0.003,0.0017,0.0005,0.0001,-0.0001,0.0008,-0.0018,0.0041
2018-11-26,BE,0.0507,-0.0111,0.0014,-0.0003,-0.0008,0.0026,-0.0077,0.0349
2018-11-26,LITE,0.0115,-0.0066,0.0009,0.0002,-0.0001,0.0024,0.0028,0.0111
2018-11-26,000660,0.0044,0.0027,-0.0007,0.0001,0.0006,-0.0001,-0.0042,0.0027
2018-11-26,005930,0.0022,0.002,-0.0011,0.0001,-0.0,-0.0004,0.0005,0.0033
2018-11-26,UNH,0.0041,-0.0011,-0.0002,0.0001,-0.0002,0.0009,0.0008,0.0045
2018-11-26,LLY,-0.0046,-0.0219,-0.0027,0.0001,-0.0015,0.0001,0.0013,-0.0292
2018-11-26,ISRG,-0.0012,0.0004,0.0016,0.0001,-0.0001,-0.0,0.0006,0.0014
2018-11-26,ABBV,0.0022,0.0013,-0.0036,0.0001,0.0001,0.0009,-0.0054,-0.0044
2018-11-26,REGN,-0.003,0.002,0.0001,0.0001,-0.0,0.0,0.0003,-0.0006
2018-11-26,JPM,-0.0043,0.001,0.0018,0.0001,-0.0001,0.0,0.0004,-0.0012
2018-11-26,V,-0.0005,0.0001,-0.0025,0.0001,-0.0002,-0.0,0.0009,-0.0021
2018-11-26,MA,0.0089,-0.0002,-0.0004,0.0001,-0.0001,0.0001,-0.0002,0.0082
2018-11-26,BLK,0.0236,0.0068,0.0024,0.0001,0.0,0.001,0.0006,0.0346
2018-11-26,SPGI,0.0263,0.0031,0.0041,0.0001,-0.0003,-0.0003,0.0005,0.0335
2018-11-26,GS,-0.0001,0.004,0.0009,0.0001,0.0001,-0.0001,0.0019,0.0069
2018-11-26,COST,-0.0016,0.0007,0.0082,0.0001,-0.0002,-0.0004,-0.0013,0.0054
2018-11-26,HD,0.0033,0.0031,-0.0003,0.0001,-0.0,0.0011,-0.0001,0.0071
2018-11-26,PG,-0.0019,0.0016,-0.0001,0.0001,-0.0001,0.0001,0.0007,0.0003
2018-11-26,MCD,-0.0016,0.0004,0.001,0.0001,-0.0001,0.0,0.0016,0.0013
2018-11-26,WMT,0.0137,-0.0027,0.0011,0.0006,0.0003,0.0005,-0.0011,0.0123
2018-11-26,CAT,0.0056,0.0038,-0.0007,0.0001,0.0001,-0.0009,-0.0035,0.0044
2018-11-26,HON,0.0074,0.0028,0.0023,0.0001,0.0,-0.001,0.0016,0.0132
2018-11-26,DE,0.0033,0.0005,0.0001,0.0001,-0.0,-0.0,0.0012,0.0051
2018-11-26,UNP,-0.0021,0.0008,0.0009,0.0001,-0.0,0.0,0.0007,0.0004
2018-11-26,LMT,-0.0021,0.0029,-0.0032,0.0001,-0.0004,0.0,0.0008,-0.0019
2018-11-26,ETN,-0.0009,0.0015,-0.0015,0.0001,0.0001,-0.0001,-0.0007,-0.0015
2018-11-26,XOM,-0.0006,0.001,0.0001,0.0001,0.0,0.0,0.001,0.0016
2018-11-26,LNG,-0.0297,0.0005,0.0022,0.0001,-0.0017,0.0001,-0.0036,-0.0321
2018-11-26,FCX,0.0007,-0.002,-0.0019,0.0001,-0.0003,-0.0001,-0.0003,-0.0038
2018-11-26,LIN,0.0053,-0.0042,-0.0061,0.0,-0.0043,0.001,-0.0149,-0.0231
2018-11-26,NEE,-0.002,0.0003,0.0008,0.0001,-0.0001,0.0,0.0003,-0.0006
2018-11-26,AMT,-0.0019,0.0002,0.0007,0.0001,-0.0001,-0.0,0.0016,0.0005
2018-11-26,EQIX,-0.0095,0.0042,-0.0001,0.0001,-0.0004,-0.0001,0.0011,-0.0048
2018-11-26,TMUS,-0.0074,0.0009,0.0007,0.0001,-0.0007,0.0,0.001,-0.0055
2018-11-26,PLD,0.0013,0.0017,0.0013,0.0001,-0.0001,-0.0,-0.0001,0.0041
2018-11-26,AMD,0.009,-0.0332,0.0037,0.0001,-0.001,-0.0025,0.0008,-0.0232
2018-11-26,CRM,-0.0056,0.0013,0.0003,0.0001,-0.0001,-0.0,0.002,-0.0022
2018-11-26,NFLX,0.0285,0.0035,0.0025,0.0001,-0.0001,-0.0005,0.0048,0.0387
2018-11-26,TER,-0.0011,0.0011,-0.0047,0.0001,-0.0,-0.0001,0.0021,-0.0027
2018-11-26,GLW,-0.0026,0.0006,0.0013,0.0001,-0.0002,0.0,0.0006,-0.0003
2018-11-26,JNJ,0.0001,0.0002,0.0008,0.0001,-0.0001,-0.0,0.0012,0.0021
2018-11-26,WFC,-0.0051,0.0015,-0.0016,0.0001,0.0001,-0.0001,0.0,-0.0051
2018-11-26,MPC,-0.0181,0.0015,-0.0014,-0.0,-0.0005,0.0002,0.0002,-0.0182
2018-11-26,LRCX,-0.0005,0.0043,0.0001,0.0001,0.0002,-0.0001,0.0003,0.0044
2018-11-26,AMAT,-0.0025,0.005,-0.0085,0.0001,0.0004,-0.0001,0.0024,-0.0031
2018-11-26,PANW,-0.0054,0.0008,-0.0047,0.0001,0.0002,-0.0003,0.002,-0.0074
2018-11-26,FN,0.0225,0.0033,-0.0032,0.0001,0.0002,0.0018,0.0011,0.0257
2018-11-26,MPWR,-0.0001,0.0005,0.0018,0.0001,-0.0001,0.0,0.0002,0.0024
2018-11-26,BAC,-0.0027,0.0021,0.0004,0.0001,0.0001,-0.0,0.0004,0.0004
2018-11-26,CSCO,0.0043,-0.0011,-0.0009,0.0001,-0.0001,0.0007,0.0004,0.0034
2018-11-26,INTC,-0.0012,-0.0025,-0.0002,0.0001,0.0003,0.0002,0.0007,-0.0027
2018-11-26,ORCL,-0.0029,0.0005,-0.001,0.0001,-0.0,0.0,0.0011,-0.0021
2018-11-26,TSM,-0.0033,0.0029,-0.0006,0.0001,-0.0006,-0.0002,-0.0,-0.0018
2019-08-16,AAPL,-0.005,-0.0039,0.001,0.0002,0.0,-0.0004,-0.0015,-0.0095
2019-08-16,MSFT,0.0009,0.0006,0.0014,0.0001,0.0001,0.0002,-0.0002,0.003
2019-08-16,GOOGL,0.0032,-0.0004,0.0003,0.0001,0.0003,0.0001,0.0008,0.0045
2019-08-16,AMZN,-0.0015,-0.0002,-0.0022,0.0002,-0.0,-0.0001,0.0011,-0.0028
2019-08-16,META,0.0016,0.0001,0.0007,0.0001,0.0002,0.0,0.0001,0.0027
2019-08-16,NVDA,0.0238,-0.0002,-0.0023,0.0001,-0.0001,0.0,0.0003,0.0215
2019-08-16,TSLA,-0.0194,-0.0087,0.0009,0.0001,0.0005,0.0,0.002,-0.0245
2019-08-16,PLTR,-0.002,0.0015,0.0001,0.0001,0.0001,-0.0,0.0009,0.0007
2019-08-16,AVGO,-0.0141,-0.0037,-0.0022,0.0002,0.0001,0.0,-0.0018,-0.0215
2019-08-16,MU,-0.012,-0.0192,-0.0003,0.0001,0.0021,-0.0005,-0.0011,-0.0308
2019-08-16,GEV,-0.001,0.0017,0.0031,0.0001,0.0002,-0.0,0.0009,0.0049
2019-08-16,VRT,0.0027,0.0004,0.0018,0.0001,0.0001,0.0001,-0.0,0.0051
2019-08-16,BE,0.0111,-0.0028,-0.0031,0.0,-0.0002,0.0031,-0.0044,0.0037
2019-08-16,LITE,0.0091,-0.0142,-0.0038,0.0001,0.0001,0.0004,0.0009,-0.0075
2019-08-16,000660,-0.0053,-0.001,-0.0007,0.0001,0.0004,-0.0003,-0.0011,-0.0079
2019-08-16,005930,-0.0024,0.0022,0.0008,0.0001,0.0004,-0.0003,0.0007,0.0014
2019-08-16,UNH,0.0153,0.004,0.0036,0.0001,0.0001,0.0008,0.0012,0.025
2019-08-16,LLY,0.0191,-0.001,-0.0001,0.0,0.0001,-0.0004,0.0001,0.0178
2019-08-16,ISRG,-0.0021,0.0013,0.0015,0.0001,0.0002,0.0001,0.0004,0.0014
2019-08-16,ABBV,-0.0072,0.0046,-0.0023,0.0001,0.0005,0.0,-0.0028,-0.0071
2019-08-16,REGN,-0.0068,0.0026,-0.0003,0.0001,0.0003,-0.0001,-0.0002,-0.0043
2019-08-16,JPM,-0.0065,0.0013,0.001,0.0001,0.0002,0.0,-0.0003,-0.0042
2019-08-16,V,-0.0031,-0.0001,0.0005,0.0001,0.0002,-0.0,-0.0,-0.0025
