date,sector_Communication,port_sector_Communication,bm_sector_Communication,sector_Consumer Disc.,port_sector_Consumer Disc.,bm_sector_Consumer Disc.,sector_Consumer Staples,port_sector_Consumer Staples,bm_sector_Consumer Staples,sector_Energy,port_sector_Energy,bm_sector_Energy,sector_Financials,port_sector_Financials,bm_sector_Financials,sector_Healthcare,port_sector_Healthcare,bm_sector_Healthcare,sector_Industrials,port_sector_Industrials,bm_sector_Industrials,sector_Materials,port_sector_Materials,bm_sector_Materials,sector_Other,port_sector_Other,bm_sector_Other,sector_Real Estate,port_sector_Real Estate,bm_sector_Real Estate,sector_Semiconductors,port_sector_Semiconductors,bm_sector_Semiconductors,sector_Technology,port_sector_Technology,bm_sector_Technology,sector_Utilities,port_sector_Utilities,bm_sector_Utilities,style_Cyclical,port_style_Cyclical,bm_style_Cyclical,style_Defensive,port_style_Defensive,bm_style_Defensive,style_GARP,port_style_GARP,bm_style_GARP,style_Growth,port_style_Growth,bm_style_Growth,style_Other,port_style_Other,bm_style_Other,style_Quality,port_style_Quality,bm_style_Quality,style_Quality Growth,port_style_Quality Growth,bm_style_Quality Growth,style_Value,port_style_Value,bm_style_Value,dominant_ow_sector,dominant_uw_sector,dominant_ow_style,dominant_uw_style
2018-11-26,0.009544,0.138337,0.128794,0.001432,0.117381,0.11595,-0.001725,0.058316,0.060041,-0.000512,0.037852,0.038364,0.001979,0.133691,0.131711,-0.002379,0.095024,0.097403,-0.002249,0.046452,0.0487,-0.000484,0.009733,0.010217,-0.001395,0.104572,0.105967,-0.000839,0.013541,0.014381,-0.001962,0.058716,0.060678,-0.001032,0.178349,0.179381,-0.000378,0.008034,0.008412,-0.002878,0.061058,0.063935,-0.00363,0.122481,0.126111,-0.000574,0.018592,0.019166,0.010251,0.14881,0.138559,-0.001395,0.104572,0.105967,0.005951,0.095335,0.089384,-0.000474,0.341279,0.341753,-0.00725,0.107874,0.115124,Communication,Healthcare,Growth,Value
2018-12-25,0.009043,0.14313,0.134087,0.000234,0.114697,0.114463,-0.002292,0.059638,0.06193,-0.001249,0.035762,0.037011,0.000493,0.129097,0.128604,-0.003953,0.094988,0.098941,0.00616,0.055366,0.049206,-0.000896,0.009879,0.010776,-0.001735,0.103907,0.105642,-0.001469,0.013256,0.014725,0.006382,0.065254,0.058872,-0.010131,0.166577,0.176708,-0.000586,0.008449,0.009035,-0.003805,0.058968,0.062773,-0.005049,0.123771,0.12882,-0.001015,0.019642,0.020656,0.025594,0.16245,0.136856,-0.001735,0.103907,0.105642,0.004196,0.09464,0.090445,-0.009743,0.333763,0.343506,-0.008443,0.102858,0.111301,Communication,Technology,Growth,Quality Growth
2019-01-23,-0.000427,0.135824,0.136251,0.017054,0.136371,0.119317,-0.002312,0.059361,0.061673,-0.001235,0.035001,0.036236,-0.005726,0.123571,0.129296,-0.015798,0.080604,0.096402,0.00731,0.056991,0.049682,-0.000821,0.009712,0.010533,-0.001338,0.105414,0.106753,-0.00126,0.013153,0.014413,0.002982,0.061391,0.058409,0.002099,0.174571,0.172472,-0.000528,0.008036,0.008563,-0.007264,0.054727,0.061991,-0.004955,0.120131,0.125086,-0.000915,0.019644,0.020558,0.041133,0.187632,0.146499,-0.001338,0.105414,0.106753,0.004186,0.095639,0.091453,-0.016964,0.321076,0.33804,-0.013884,0.095737,0.109621,Consumer Disc.,Healthcare,Growth,Quality Growth
2019-02-21,-0.000567,0.137163,0.13773,0.01465,0.129751,0.115101,-0.013836,0.046726,0.060562,-0.001106,0.036286,0.037393,0.003535,0.130091,0.126556,-0.017538,0.075288,0.092826,0.017651,0.068082,0.050431,-0.000792,0.009964,0.010757,-0.003261,0.10397,0.10723,-0.001411,0.013709,0.01512,-0.006247,0.056138,0.062385,0.009495,0.184871,0.175376,-0.000573,0.00796,0.008533,-0.00785,0.057385,0.065235,-0.016633,0.107035,0.123668,-0.000879,0.02011,0.020989,0.042946,0.186659,0.143713,-0.003261,0.10397,0.10723,0.015206,0.107423,0.092217,-0.016774,0.323268,0.340041,-0.012756,0.09415,0.106906,Industrials,Healthcare,Growth,Quality Growth
2019-03-22,-0.000976,0.140556,0.141532,0.037119,0.15475,0.117631,-0.013802,0.045939,0.05974,-0.016489,0.020546,0.037036,0.002258,0.124619,0.122361,-0.03353,0.055451,0.088981,0.023059,0.070429,0.04737,-0.000982,0.009338,0.01032,-0.002575,0.101456,0.104032,-0.005468,0.010237,0.015706,-0.006921,0.05529,0.062211,0.018927,0.20341,0.184483,-0.000619,0.007979,0.008598,-0.008591,0.053147,0.061738,-0.03606,0.085275,0.121335,-0.00102,0.019358,0.020378,0.071176,0.219819,0.148643,-0.002575,0.101456,0.104032,0.013523,0.100377,0.086854,-0.009324,0.346272,0.355596,-0.027128,0.074295,0.101423,Consumer Disc.,Healthcare,Growth,Defensive
2019-04-22,-0.002718,0.140273,0.142991,0.03495,0.154254,0.119304,-0.018441,0.04051,0.058951,-0.016581,0.019634,0.036215,0.002873,0.126686,0.123814,-0.021312,0.059373,0.080685,0.026527,0.075187,0.04866,-0.001246,0.009245,0.010491,-0.007803,0.100453,0.108256,-0.005508,0.009539,0.015047,-0.020585,0.040673,0.061258,0.030579,0.216837,0.186259,-0.000736,0.007334,0.00807,-0.017889,0.042554,0.060443,-0.046611,0.071936,0.118546,-0.005678,0.014137,0.019815,0.0834,0.230187,0.146787,-0.007803,0.100453,0.108256,0.030761,0.115882,0.085121,-0.009504,0.350327,0.359831,-0.026676,0.074524,0.1012,Consumer Disc.,Healthcare,Growth,Defensive
2019-05-21,-0.001976,0.140284,0.14226,0.018324,0.139143,0.120818,-0.021994,0.03927,0.061263,-0.022197,0.012282,0.034479,0.006671,0.13523,0.128559,-0.023797,0.061371,0.085168,0.029005,0.078111,0.049105,-0.000878,0.009842,0.01072,-0.010926,0.090409,0.101335,-0.007386,0.008995,0.016382,0.000377,0.056523,0.056146,0.035485,0.220495,0.18501,-0.000708,0.008046,0.008754,0.00325,0.058845,0.055595,-0.057242,0.067374,0.124616,-0.005095,0.014099,0.019195,0.07187,0.21854,0.14667,-0.010926,0.090409,0.101335,0.041436,0.130502,0.089065,-0.010854,0.351086,0.36194,-0.032439,0.069145,0.101584,Technology,Healthcare,Growth,Defensive
2019-06-19,-0.00821,0.128911,0.13712,-0.000393,0.122186,0.122579,-0.021864,0.04152,0.063384,-0.021012,0.012107,0.033119,0.008179,0.135169,0.126989,-0.017459,0.066197,0.083656,0.02909,0.078045,0.048955,-0.000608,0.010626,0.011234,-0.01004,0.089155,0.099195,-0.007378,0.00982,0.017199,0.012282,0.068529,0.056246,0.037949,0.229402,0.191453,-0.000535,0.008334,0.00887,0.015703,0.072015,0.056312,-0.056563,0.070395,0.126958,-0.004669,0.014315,0.018985,0.054392,0.201135,0.146743,-0.01004,0.089155,0.099195,0.047869,0.13772,0.089851,-0.016235,0.34817,0.364405,-0.030456,0.067095,0.097551,Technology,Consumer Staples,Growth,Defensive
2019-07-18,0.0,0.137554,0.137554,0.0,0.123752,0.123752,0.0,0.064631,0.064631,0.0,0.032307,0.032307,0.0,0.128946,0.128946,0.0,0.078411,0.078411,0.0,0.048038,0.048038,0.0,0.011044,0.011044,0.0,0.101463,0.101463,0.0,0.016463,0.016463,0.0,0.05863,0.05863,0.0,0.189895,0.189895,0.0,0.008865,0.008865,0.0,0.057752,0.057752,0.0,0.124397,0.124397,0.0,0.018757,0.018757,0.0,0.145454,0.145454,0.0,0.101463,0.101463,0.0,0.089638,0.089638,0.0,0.367487,0.367487,0.0,0.095052,0.095052,Communication,Communication,Cyclical,Cyclical
2019-08-16,0.019918,0.159684,0.139766,-0.00265,0.116782,0.119432,-0.013356,0.053917,0.067273,0.000181,0.030564,0.030384,9.1e-05,0.129083,0.128993,0.017157,0.096215,0.079058,-0.003047,0.044794,0.047841,-2.9e-05,0.010431,0.01046,-7.1e-05,0.095469,0.095541,-0.004521,0.013543,0.018063,-0.008744,0.049255,0.057999,-0.004875,0.190859,0.195734,-5.5e-05,0.009402,0.009458,-0.006732,0.048992,0.055724,-0.017828,0.113098,0.130925,-0.004942,0.013935,0.018878,0.015872,0.157359,0.141486,-7.1e-05,0.095469,0.095541,0.016922,0.105532,0.088611,-0.003524,0.373304,0.376827,0.000303,0.092311,0.092008,Communication,Consumer Staples,Quality,Defensive
